date,user_id,monthly_income,monthly_expense_total,savings_rate,budget_goal,financial_scenario,credit_score,debt_to_income_ratio,loan_payment,investment_amount,subscription_services,emergency_fund,transaction_count,fraud_flag,discretionary_spending,essential_spending,income_type,rent_or_mortgage,category,cash_flow_status,financial_advice_score,financial_stress_level,actual_savings,savings_goal_met
2022-06-14,1227.0,4572.35,2275.15,0.33,2277.32,normal,730.0,0.5,555.67,546.92,2.0,1677.19,55.0,0.0,422.44,3333.4,salary,1227.6,Transportation,positive,39.9,high,2297.2,1
2020-06-24,1634.765276,3747.610414,3140.287131,0.046995646,2656.373296,inflation,704.5828638,0.2087396,251.9511889,245.8689203,4.889440603,261.0567322,36.70258825,-0.007132651,581.661776,1816.197748,freelance,1824.9987,Healthcare,positive,99.09561002,high,703.9402898,1
2022-05-15,1863.0,4371.96,2455.72,0.36,2535.29,normal,760.0,0.17,346.45,553.16,5.0,1123.53,59.0,0.0,391.69,1875.97,salary,958.13,Entertainment,positive,49.2,medium,1916.24,1
2021-11-16,1989.0,3789.01,2175.04,0.07,2931.26,recession,655.0,0.38,78.16,290.48,3.0,839.21,70.0,0.0,428.48,1790.14,mixed,1081.37,Rent,positive,8.0,low,1613.97,1
2019-06-30,1208.856321,4340.919501,2895.737125,0.16528938,2828.605198,normal,638.60506,0.552046394,417.4791653,326.5292691,7.80726426,470.0704493,90.1872247,-0.003281203,471.1887996,2794.541627,mixed,1322.906056,Entertainment,positive,98.43928301,high,1459.018333,1
2021-04-20,1092.0,3966.3,3114.97,0.3,2121.94,recession,651.0,0.51,536.9,127.84,6.0,1268.22,44.0,0.0,725.75,2375.07,salary,1223.42,Rent,positive,47.9,high,851.33,1
2022-03-16,1326.0,3493.23,2715.97,0.15,2550.46,normal,686.0,0.28,711.12,263.23,8.0,1440.77,74.0,0.0,223.33,1284.42,freelance,1174.82,Groceries,positive,81.0,low,777.26,1
2021-12-16,1247.0,4514.39,2230.66,0.17,2506.81,normal,589.0,0.36,811.28,83.75,3.0,957.85,81.0,0.0,669.9,2321.88,salary,1666.56,Groceries,positive,72.0,medium,2283.73,1
2022-01-15,1897.0,4196.07,2947.04,0.36,2608.55,recession,677.0,0.53,0.0,429.86,9.0,1127.63,86.0,0.0,338.65,1772.4,salary,1615.93,Education,positive,7.6,medium,1249.03,1
2020-11-21,1945.0,4015.48,2304.72,0.09,3023.05,normal,580.0,0.48,725.06,146.85,2.0,130.62,86.0,0.0,0.0,3905.56,salary,1761.48,Utilities,positive,55.6,low,1710.76,1
2022-08-13,1049.7247,3986.650656,3229.424341,0.350474039,1790.699437,recession,712.8010298,0.411452229,407.6818741,91.14968838,6.902157427,1109.989008,72.35929881,-0.004734858,283.9816388,2793.646008,freelance,843.4996923,Rent,positive,13.24439819,low,627.0221129,1
2021-07-19,1376.0,5232.44,2626.44,0.19,3542.76,normal,643.0,0.59,405.37,514.61,8.0,147.91,85.0,0.0,843.53,2852.1,salary,789.23,Investments,positive,18.0,medium,2606.0,1
2021-07-19,1438.0,2556.53,3164.98,0.39,3140.44,normal,668.0,0.45,552.75,240.68,6.0,1182.77,91.0,0.0,611.6,2076.98,salary,719.57,Rent,negative,92.5,low,0.0,0
